c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)F	445227-inactive-pubchem
c1cn(cn1)CC(O)(P(=O)(O)O)P(=O)(O)O	68740-inactive-pubchem
CCOC(=O)Nc1cc2c(cc1)Sc1ccccc1N2C(=O)CCN1CCOCC1	34632-inactive-pubchem
C1C[C@@H](O[C@@H]1CO)n1ccc(nc1=O)N	24066-inactive-pubchem
CC(=CCCC(C)(C=C)O)C	6549-inactive-pubchem
CC(CCCC(C)(C)O)N	10969-inactive-pubchem
c1c(o[nH]c1=O)C(C(=O)O)N	1233-inactive-pubchem
c1cc(c(cc1[N+](=O)[O-])N)C(=O)O	12076-inactive-pubchem
c1(c(c2n[nH]nc2c(c1Br)Br)Br)Br	1694-inactive-pubchem
C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CC[C@]13[C@H]2CC[C@@H]2[C@]1(C3)CC[C@@H](C2(C)C)OC(=O)/C=C/c1cc(c(cc1)O)OC)C)C	5282164-inactive-pubchem
Cc1c(c2c(cc1)C(=O)c1ccccc1C2=O)[N+](=O)[O-]	31426-inactive-pubchem
c1ccc(cc1)CC(CS)C(=O)NCC(=O)O	3132-inactive-pubchem
c1cc(c2c(c1[N+](=O)[O-])C(=O)c1c(ccc(c1C2=O)O)[N+](=O)[O-])O	3378440-inactive-pubchem
c1ccc(cc1)CCCC(=O)O	4775-inactive-pubchem
CN(C)CCOC(=O)C=C	17111-inactive-pubchem
c1cc2c([nH]nc2c(c1)[N+](=O)[O-])Br	1649-inactive-pubchem
CC[N+](CC)(CC)CC(=O)Nc1c(cccc1C)C	9884487-inactive-pubchem
c1ccc(cc1)S(=O)(=O)NCCSc1cc(c(c(c1)F)OCC(=O)N)F	6603828-inactive-pubchem
CC1(C[C@@H]1C(=O)N/C(=C\CCCCSC[C@@H](C(=O)O)N)/C(=O)[O-])C	23663403-inactive-pubchem
